gen_id,bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
0401_020720,b5,True,21,2334320,0.0022,0,7,1,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 19, ""json_like"": 2}"
0401_020720,b6,True,26,1960832,0.0018,0,11,1,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,b7,True,26,1469728,0.0014,0,6,0,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 25, ""json_like"": 1}"
0401_020720,b8,True,22,2354640,0.0022,0,13,1,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 21, ""json_like"": 1}"
0401_020720,b9,True,20,14302784,0.0133,0,5,2,0,"{""snapshot_file"": 20}","{""binary_or_unknown"": 20}"
0401_020720,ba,True,23,2463984,0.0023,0,8,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,bb,True,24,13132368,0.0122,0,9,2,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,bc,True,32,2312816,0.0022,0,16,1,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,bd,True,28,887936,0.0008,0,16,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,be,True,28,3014288,0.0028,0,13,2,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,bf,True,42,2344928,0.0022,0,18,1,0,"{""snapshot_file"": 42}","{""binary_or_unknown"": 42}"
0401_020720,c0,True,20,2543600,0.0024,0,2,0,0,"{""snapshot_file"": 20}","{""binary_or_unknown"": 20}"
0401_020720,c1,True,27,424958304,0.3958,0,7,3,2,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,c2,True,21,168960,0.0002,0,12,0,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 20, ""json_like"": 1}"
0401_020720,c3,True,29,512912,0.0005,0,15,0,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,c4,True,23,1561424,0.0015,0,7,0,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,c5,True,27,639980608,0.596,0,9,4,2,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,c6,True,23,721216,0.0007,0,13,0,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,c7,True,33,4861392,0.0045,0,14,2,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 32, ""json_like"": 1}"
0401_020720,c8,True,32,1432992,0.0013,0,18,0,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,c9,True,29,2571216,0.0024,0,12,1,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 28, ""json_like"": 1}"
0401_020720,ca,True,25,428604320,0.3992,0,13,1,1,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,cb,True,28,1183312,0.0011,0,9,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,cc,True,30,1763920,0.0016,0,13,1,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,cd,True,22,433296,0.0004,0,12,0,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 21, ""json_like"": 1}"
0401_020720,ce,True,27,1123792,0.001,0,14,0,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 26, ""json_like"": 1}"
0401_020720,cf,True,23,993632,0.0009,0,10,0,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,d0,True,22,1247648,0.0012,0,10,0,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,d1,True,27,3618928,0.0034,0,10,2,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,d2,True,32,955744,0.0009,0,17,0,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,d3,True,29,7424784,0.0069,0,16,1,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,d4,True,23,9926272,0.0092,0,12,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,d5,True,30,3866784,0.0036,0,10,2,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,d6,True,33,314443440,0.2928,0,10,2,1,"{""snapshot_file"": 33}","{""binary_or_unknown"": 33}"
0401_020720,d7,True,31,13159056,0.0123,0,11,2,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 30, ""json_like"": 1}"
0401_020720,d8,True,31,3788512,0.0035,0,9,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,d9,True,31,15104928,0.0141,0,13,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 30, ""json_like"": 1}"
0401_020720,da,True,21,1994224,0.0019,0,6,1,0,"{""snapshot_file"": 21}","{""binary_or_unknown"": 21}"
0401_020720,db,True,27,3402416,0.0032,0,9,2,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,dc,True,15,475280,0.0004,0,8,0,0,"{""snapshot_file"": 15}","{""binary_or_unknown"": 15}"
0401_020720,dd,True,27,1703264,0.0016,0,9,0,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 25, ""json_like"": 2}"
0401_020720,de,True,24,986240,0.0009,0,6,0,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,df,True,17,639489296,0.5956,0,3,2,2,"{""snapshot_file"": 17}","{""binary_or_unknown"": 17}"
0401_020720,e0,True,19,866112,0.0008,0,6,0,0,"{""snapshot_file"": 19}","{""binary_or_unknown"": 19}"
0401_020720,e1,True,26,1814560,0.0017,0,10,1,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,e2,True,25,1803488,0.0017,0,13,1,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,e3,True,27,13378576,0.0125,0,6,2,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,e4,True,29,2136000,0.002,0,9,0,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 28, ""json_like"": 1}"
0401_020720,e5,True,32,4536224,0.0042,0,12,1,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 31, ""json_like"": 1}"
0401_020720,e6,True,33,31862656,0.0297,0,10,2,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 33}"
0401_020720,e7,True,19,310899408,0.2895,0,8,1,1,"{""snapshot_file"": 19}","{""binary_or_unknown"": 18, ""json_like"": 1}"
0401_020720,e8,True,23,1111936,0.001,0,9,0,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,e9,True,31,1688464,0.0016,0,14,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,ea,True,27,1623904,0.0015,0,10,0,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,eb,True,26,4057648,0.0038,0,9,2,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,ec,True,25,2365984,0.0022,0,10,1,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,ed,True,23,3203216,0.003,0,11,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,ee,True,39,1297488,0.0012,0,18,0,0,"{""snapshot_file"": 39}","{""binary_or_unknown"": 38, ""json_like"": 1}"
0401_020720,ef,True,31,3134880,0.0029,0,18,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,f0,True,30,13446368,0.0125,0,15,2,0,"{""snapshot_file"": 30}","{""binary_or_unknown"": 30}"
0401_020720,f1,True,32,3468736,0.0032,0,13,2,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 31, ""json_like"": 1}"
0401_020720,f2,True,27,2525568,0.0024,0,14,1,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 26, ""json_like"": 1}"
0401_020720,f3,True,42,2374736,0.0022,0,16,0,0,"{""snapshot_file"": 42}","{""binary_or_unknown"": 41, ""json_like"": 1}"
0401_020720,f4,True,31,1403904,0.0013,0,12,0,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,f5,True,29,1128304,0.0011,0,13,0,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,f6,True,25,844912,0.0008,0,12,0,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,f7,True,24,411440,0.0004,0,12,0,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,f8,True,28,318621408,0.2967,0,9,1,1,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,f9,True,28,1372128,0.0013,0,16,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,fa,True,17,1405184,0.0013,0,9,0,0,"{""snapshot_file"": 17}","{""binary_or_unknown"": 17}"
0401_020720,fb,True,32,14459344,0.0135,0,9,1,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,fc,True,25,26478464,0.0247,0,9,2,0,"{""snapshot_file"": 25}","{""binary_or_unknown"": 25}"
0401_020720,fd,True,31,532768,0.0005,0,14,0,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 31}"
0401_020720,fe,True,23,1694480,0.0016,0,10,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,ff,True,35,2994352,0.0028,0,14,1,0,"{""snapshot_file"": 35}","{""binary_or_unknown"": 34, ""json_like"": 1}"
0401_053959,00,True,206,25553040,0.0238,0,66,9,0,"{""snapshot_file"": 206}","{""binary_or_unknown"": 206}"
0401_053959,01,True,206,18696368,0.0174,0,58,4,0,"{""snapshot_file"": 206}","{""binary_or_unknown"": 204, ""json_like"": 2}"
0401_053959,02,True,221,353779040,0.3295,0,66,5,1,"{""snapshot_file"": 221}","{""binary_or_unknown"": 218, ""json_like"": 3}"
0401_053959,03,True,175,147975824,0.1378,0,56,5,1,"{""snapshot_file"": 175}","{""binary_or_unknown"": 172, ""json_like"": 3}"
0401_053959,04,True,194,16196144,0.0151,0,57,4,0,"{""snapshot_file"": 194}","{""binary_or_unknown"": 192, ""json_like"": 2}"
0401_053959,05,True,231,54490464,0.0507,0,61,10,0,"{""snapshot_file"": 231}","{""binary_or_unknown"": 226, ""json_like"": 5}"
0401_053959,06,True,187,24478288,0.0228,0,53,4,0,"{""snapshot_file"": 187}","{""binary_or_unknown"": 185, ""json_like"": 2}"
0401_053959,07,True,200,172084560,0.1603,0,47,5,1,"{""snapshot_file"": 200}","{""binary_or_unknown"": 199, ""json_like"": 1}"
0401_053959,08,True,217,1329536944,1.2382,0,61,13,4,"{""snapshot_file"": 217}","{""binary_or_unknown"": 217}"
0401_053959,09,True,204,25280816,0.0235,0,57,5,0,"{""snapshot_file"": 204}","{""binary_or_unknown"": 204}"
0401_053959,0a,True,193,16971296,0.0158,0,58,4,0,"{""snapshot_file"": 193}","{""binary_or_unknown"": 192, ""json_like"": 1}"
0401_053959,0b,True,187,356439008,0.332,0,53,8,1,"{""snapshot_file"": 187}","{""binary_or_unknown"": 185, ""json_like"": 2}"
0401_053959,0c,True,205,379746656,0.3537,0,48,12,1,"{""snapshot_file"": 205}","{""binary_or_unknown"": 203, ""json_like"": 2}"
0401_053959,0d,True,222,360852960,0.3361,0,64,9,1,"{""snapshot_file"": 222}","{""binary_or_unknown"": 220, ""json_like"": 2}"
0401_053959,0e,True,195,279211840,0.26,0,53,7,1,"{""snapshot_file"": 195}","{""binary_or_unknown"": 193, ""json_like"": 2}"
0401_053959,0f,True,198,340827648,0.3174,0,56,8,1,"{""snapshot_file"": 198}","{""binary_or_unknown"": 195, ""json_like"": 3}"
0401_053959,10,True,206,24635904,0.0229,0,55,8,0,"{""snapshot_file"": 206}","{""binary_or_unknown"": 205, ""json_like"": 1}"
0401_053959,11,True,204,16064272,0.015,0,52,1,0,"{""snapshot_file"": 204}","{""binary_or_unknown"": 204}"
0401_053959,12,True,198,342337728,0.3188,0,52,5,1,"{""snapshot_file"": 198}","{""binary_or_unknown"": 197, ""json_like"": 1}"
0401_053959,13,True,186,787244384,0.7332,0,48,7,2,"{""snapshot_file"": 186}","{""binary_or_unknown"": 186}"
0401_053959,14,True,204,382315232,0.3561,0,62,10,1,"{""snapshot_file"": 204}","{""binary_or_unknown"": 203, ""json_like"": 1}"
0401_053959,15,True,184,23385072,0.0218,0,55,7,0,"{""snapshot_file"": 184}","{""binary_or_unknown"": 184}"
0401_053959,16,True,200,355395504,0.331,0,57,5,1,"{""snapshot_file"": 200}","{""binary_or_unknown"": 197, ""json_like"": 3}"
0401_053959,17,True,181,332824272,0.31,0,58,5,1,"{""snapshot_file"": 181}","{""binary_or_unknown"": 181}"
0401_053959,18,True,215,66739568,0.0622,0,53,7,0,"{""snapshot_file"": 215}","{""binary_or_unknown"": 213, ""json_like"": 2}"
0401_053959,19,True,225,371797856,0.3463,0,74,12,1,"{""snapshot_file"": 225}","{""binary_or_unknown"": 224, ""json_like"": 1}"
0401_053959,1a,True,191,17230208,0.016,0,50,4,0,"{""snapshot_file"": 191}","{""binary_or_unknown"": 188, ""json_like"": 3}"
0401_053959,1b,True,207,479624880,0.4467,0,64,4,2,"{""snapshot_file"": 207}","{""binary_or_unknown"": 203, ""json_like"": 4}"
0401_053959,1c,True,189,371785968,0.3463,0,57,8,1,"{""snapshot_file"": 189}","{""binary_or_unknown"": 186, ""json_like"": 3}"
0401_053959,1d,True,198,997458352,0.929,0,54,12,3,"{""snapshot_file"": 198}","{""binary_or_unknown"": 196, ""json_like"": 2}"
0401_053959,1e,True,202,407472912,0.3795,0,55,12,1,"{""snapshot_file"": 202}","{""binary_or_unknown"": 202}"
0401_053959,1f,True,175,20476960,0.0191,0,53,6,0,"{""snapshot_file"": 175}","{""binary_or_unknown"": 174, ""json_like"": 1}"
0401_053959,20,True,196,345056208,0.3214,0,61,4,1,"{""snapshot_file"": 196}","{""binary_or_unknown"": 193, ""json_like"": 2, ""gzip"": 1}"
0401_053959,21,True,197,44271296,0.0412,0,54,6,0,"{""snapshot_file"": 197}","{""binary_or_unknown"": 195, ""json_like"": 2}"
0401_053959,22,True,201,34103024,0.0318,0,60,7,0,"{""snapshot_file"": 201}","{""binary_or_unknown"": 201}"
0401_053959,23,True,211,326029280,0.3036,0,52,4,1,"{""snapshot_file"": 211}","{""binary_or_unknown"": 208, ""json_like"": 3}"
0401_053959,24,True,158,9779776,0.0091,0,48,1,0,"{""snapshot_file"": 158}","{""binary_or_unknown"": 155, ""json_like"": 3}"
0401_053959,25,True,178,17245088,0.0161,0,52,5,0,"{""snapshot_file"": 178}","{""binary_or_unknown"": 178}"
0401_053959,26,True,203,338151680,0.3149,0,68,8,1,"{""snapshot_file"": 203}","{""binary_or_unknown"": 202, ""json_like"": 1}"
0401_053959,27,True,204,230930304,0.2151,0,59,9,0,"{""snapshot_file"": 204}","{""binary_or_unknown"": 202, ""json_like"": 2}"
0401_053959,28,True,206,676726240,0.6303,0,58,7,2,"{""snapshot_file"": 206}","{""binary_or_unknown"": 205, ""json_like"": 1}"
0401_053959,29,True,208,23547936,0.0219,0,64,4,0,"{""snapshot_file"": 208}","{""binary_or_unknown"": 208}"
0401_053959,2a,True,204,26570704,0.0247,0,52,7,0,"{""snapshot_file"": 204}","{""binary_or_unknown"": 204}"
0401_053959,2b,True,190,386282800,0.3598,0,43,7,1,"{""snapshot_file"": 190}","{""binary_or_unknown"": 187, ""json_like"": 3}"
0401_053959,2c,True,216,885549632,0.8247,0,65,12,2,"{""snapshot_file"": 216}","{""binary_or_unknown"": 214, ""json_like"": 2}"
0401_053959,2d,True,185,970842912,0.9042,0,53,8,3,"{""snapshot_file"": 185}","{""binary_or_unknown"": 183, ""json_like"": 2}"
0401_053959,2e,True,211,21743552,0.0203,0,60,6,0,"{""snapshot_file"": 211}","{""binary_or_unknown"": 209, ""json_like"": 2}"
0401_053959,2f,True,203,344611600,0.3209,0,50,8,1,"{""snapshot_file"": 203}","{""binary_or_unknown"": 202, ""json_like"": 1}"
0401_053959,30,True,201,1324967632,1.234,0,52,11,4,"{""snapshot_file"": 201}","{""binary_or_unknown"": 199, ""json_like"": 2}"
0401_053959,31,True,204,433342208,0.4036,0,58,6,1,"{""snapshot_file"": 204}","{""binary_or_unknown"": 204}"
0401_053959,32,True,192,16551856,0.0154,0,52,5,0,"{""snapshot_file"": 192}","{""binary_or_unknown"": 192}"
0401_053959,33,True,195,459230864,0.4277,0,61,9,1,"{""snapshot_file"": 195}","{""binary_or_unknown"": 192, ""json_like"": 3}"
0401_053959,34,True,204,1040948400,0.9695,0,56,14,3,"{""snapshot_file"": 204}","{""binary_or_unknown"": 202, ""json_like"": 2}"
0401_053959,35,True,200,23359008,0.0218,0,60,4,0,"{""snapshot_file"": 200}","{""binary_or_unknown"": 198, ""json_like"": 2}"
0401_053959,36,True,202,16712016,0.0156,0,52,4,0,"{""snapshot_file"": 202}","{""binary_or_unknown"": 200, ""json_like"": 2}"
0401_053959,37,True,202,18169808,0.0169,0,55,4,0,"{""snapshot_file"": 202}","{""binary_or_unknown"": 200, ""json_like"": 2}"
0401_053959,38,True,203,331061968,0.3083,0,63,6,1,"{""snapshot_file"": 203}","{""binary_or_unknown"": 201, ""json_like"": 2}"
0401_053959,39,True,189,292017568,0.272,0,43,6,1,"{""snapshot_file"": 189}","{""binary_or_unknown"": 188, ""json_like"": 1}"
0401_053959,3a,True,222,14281856,0.0133,0,63,3,0,"{""snapshot_file"": 222}","{""binary_or_unknown"": 221, ""json_like"": 1}"
0401_053959,3b,True,185,346929664,0.3231,0,57,6,1,"{""snapshot_file"": 185}","{""binary_or_unknown"": 185}"
0401_053959,3c,True,199,18698512,0.0174,0,64,6,0,"{""snapshot_file"": 199}","{""binary_or_unknown"": 198, ""json_like"": 1}"
0401_053959,3d,True,194,362268816,0.3374,0,50,11,1,"{""snapshot_file"": 194}","{""binary_or_unknown"": 190, ""json_like"": 4}"
0401_053959,3e,True,210,19358304,0.018,0,68,3,0,"{""snapshot_file"": 210}","{""binary_or_unknown"": 208, ""json_like"": 2}"
0401_053959,3f,True,211,715646928,0.6665,0,52,8,2,"{""snapshot_file"": 211}","{""binary_or_unknown"": 211}"
0401_053959,40,True,205,13904048,0.0129,0,59,1,0,"{""snapshot_file"": 205}","{""binary_or_unknown"": 202, ""json_like"": 3}"
0401_053959,41,True,215,341446720,0.318,0,53,5,1,"{""snapshot_file"": 215}","{""binary_or_unknown"": 210, ""json_like"": 5}"
0401_053959,42,True,179,663908976,0.6183,0,49,6,2,"{""snapshot_file"": 179}","{""binary_or_unknown"": 177, ""json_like"": 2}"
0401_053959,43,True,202,669337360,0.6234,0,50,9,2,"{""snapshot_file"": 202}","{""binary_or_unknown"": 202}"
0401_053959,44,True,198,24651104,0.023,0,56,4,0,"{""snapshot_file"": 198}","{""binary_or_unknown"": 198}"
0401_053959,45,True,217,24692832,0.023,0,64,6,0,"{""snapshot_file"": 217}","{""binary_or_unknown"": 216, ""json_like"": 1}"
0401_053959,46,True,211,141248320,0.1315,0,67,8,0,"{""snapshot_file"": 211}","{""binary_or_unknown"": 210, ""json_like"": 1}"
0401_053959,47,True,185,664065424,0.6185,0,59,6,2,"{""snapshot_file"": 185}","{""binary_or_unknown"": 184, ""json_like"": 1}"
0401_053959,48,True,201,351202592,0.3271,0,46,6,1,"{""snapshot_file"": 201}","{""binary_or_unknown"": 199, ""json_like"": 2}"
0401_053959,49,True,207,318415072,0.2965,0,56,7,1,"{""snapshot_file"": 207}","{""binary_or_unknown"": 204, ""json_like"": 3}"
0401_053959,4a,True,184,27768416,0.0259,0,50,7,0,"{""snapshot_file"": 184}","{""binary_or_unknown"": 183, ""json_like"": 1}"
0401_053959,4b,True,186,689339408,0.642,0,54,8,2,"{""snapshot_file"": 186}","{""binary_or_unknown"": 184, ""json_like"": 2}"
0401_053959,4c,True,219,34246320,0.0319,0,69,6,0,"{""snapshot_file"": 219}","{""binary_or_unknown"": 217, ""json_like"": 2}"
0401_053959,4d,True,234,56589840,0.0527,0,66,6,0,"{""snapshot_file"": 234}","{""binary_or_unknown"": 234}"
0401_053959,4e,True,171,342468464,0.3189,0,58,2,1,"{""snapshot_file"": 171}","{""binary_or_unknown"": 171}"
0401_053959,4f,True,206,44128160,0.0411,0,65,8,0,"{""snapshot_file"": 206}","{""binary_or_unknown"": 206}"
0401_053959,50,True,195,658469440,0.6132,0,59,7,2,"{""snapshot_file"": 195}","{""binary_or_unknown"": 194, ""json_like"": 1}"
0401_053959,51,True,197,493175984,0.4593,0,53,10,1,"{""snapshot_file"": 197}","{""binary_or_unknown"": 196, ""json_like"": 1}"
0401_053959,52,True,222,334844480,0.3118,0,59,10,1,"{""snapshot_file"": 222}","{""binary_or_unknown"": 220, ""json_like"": 2}"
0401_053959,53,True,207,352448256,0.3282,0,55,4,1,"{""snapshot_file"": 207}","{""binary_or_unknown"": 206, ""json_like"": 1}"
0401_053959,54,True,199,436900240,0.4069,0,65,6,1,"{""snapshot_file"": 199}","{""binary_or_unknown"": 198, ""json_like"": 1}"
0401_053959,55,True,189,374130640,0.3484,0,66,8,1,"{""snapshot_file"": 189}","{""binary_or_unknown"": 188, ""json_like"": 1}"
0401_053959,56,True,204,1224006864,1.1399,0,54,7,3,"{""snapshot_file"": 204}","{""binary_or_unknown"": 202, ""json_like"": 2}"
0401_053959,57,True,179,24615968,0.0229,0,62,4,0,"{""snapshot_file"": 179}","{""binary_or_unknown"": 178, ""json_like"": 1}"
0401_053959,58,True,201,358161152,0.3336,0,59,6,1,"{""snapshot_file"": 201}","{""binary_or_unknown"": 199, ""json_like"": 2}"
0401_053959,59,True,191,333251808,0.3104,0,39,5,1,"{""snapshot_file"": 191}","{""binary_or_unknown"": 191}"
0401_053959,5a,True,229,26769232,0.0249,0,61,8,0,"{""snapshot_file"": 229}","{""binary_or_unknown"": 227, ""json_like"": 2}"
0401_053959,5b,True,208,716165568,0.667,0,55,9,2,"{""snapshot_file"": 208}","{""binary_or_unknown"": 206, ""json_like"": 2}"
0401_053959,5c,True,196,30455872,0.0284,0,62,5,0,"{""snapshot_file"": 196}","{""binary_or_unknown"": 193, ""json_like"": 3}"
0401_053959,5d,True,204,726597728,0.6767,0,56,11,2,"{""snapshot_file"": 204}","{""binary_or_unknown"": 202, ""json_like"": 2}"
